               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.023443,            0.023067,           0.0015431,             0.84445,             0.85966,             0.90329,             0.71888,            0.020285,             0.01378,          0.00077748,           0.0091387,           0.0091387,           0.0091387
                  89,             0.02385,            0.023274,           0.0015796,             0.83737,             0.85527,             0.89202,             0.71526,            0.019947,            0.013768,          0.00074905,           0.0091288,           0.0091288,           0.0091288
                  90,            0.023597,            0.022645,           0.0014827,             0.85672,             0.87676,             0.90676,             0.73027,            0.019874,            0.013881,          0.00061544,           0.0091189,           0.0091189,           0.0091189
                  91,            0.023539,            0.022812,           0.0015444,             0.84556,             0.86568,             0.90087,             0.72222,                0.02,            0.013688,          0.00074381,            0.009109,            0.009109,            0.009109
                  92,            0.023423,            0.023769,           0.0014536,             0.85257,             0.86334,             0.89982,             0.71863,            0.019717,            0.013681,          0.00067941,           0.0090991,           0.0090991,           0.0090991
                  93,            0.023286,            0.022732,           0.0014972,             0.85136,              0.8749,             0.90125,             0.72381,            0.020066,            0.013667,          0.00062203,           0.0090892,           0.0090892,           0.0090892
                  94,            0.023736,            0.023083,           0.0016008,             0.85449,             0.87576,             0.89999,             0.72385,            0.019829,            0.013876,          0.00062574,           0.0090793,           0.0090793,           0.0090793
                  95,            0.022999,            0.022929,           0.0016019,             0.85411,             0.87025,             0.90121,             0.71607,            0.020328,            0.013722,          0.00066409,           0.0090694,           0.0090694,           0.0090694
                  96,            0.023125,            0.022877,           0.0015207,             0.85472,             0.86546,             0.89745,             0.71974,            0.020386,            0.013756,          0.00065009,           0.0090595,           0.0090595,           0.0090595
                  97,            0.023371,            0.022669,           0.0016403,             0.85956,             0.84722,             0.89475,             0.71335,            0.019847,            0.013856,           0.0012622,           0.0090496,           0.0090496,           0.0090496
                  98,            0.023356,            0.023186,           0.0014911,              0.8725,             0.86316,             0.90004,             0.72809,            0.019768,            0.013949,          0.00068395,           0.0090397,           0.0090397,           0.0090397
                  99,             0.02316,            0.023054,           0.0015211,              0.8522,              0.8688,              0.8961,             0.71273,            0.020359,            0.013883,          0.00073226,           0.0090298,           0.0090298,           0.0090298
                 100,            0.023414,            0.023041,           0.0016475,             0.86016,             0.86077,             0.89819,             0.72764,            0.019785,            0.013758,          0.00068694,           0.0090199,           0.0090199,           0.0090199
                 101,             0.02328,            0.023947,           0.0017066,             0.86547,             0.85631,             0.90197,             0.72904,            0.019456,            0.013466,          0.00074726,             0.00901,             0.00901,             0.00901
                 102,             0.02316,            0.022682,           0.0015108,             0.86906,             0.86179,             0.90955,             0.73175,            0.019408,            0.013606,          0.00069717,           0.0090001,           0.0090001,           0.0090001
                 103,            0.023183,            0.022944,           0.0014007,             0.85892,             0.87016,             0.90345,             0.72792,            0.019909,            0.013536,          0.00063643,           0.0089902,           0.0089902,           0.0089902
                 104,            0.023043,            0.022487,           0.0014109,             0.84842,             0.86733,             0.89978,             0.72782,            0.019908,             0.01357,          0.00071241,           0.0089803,           0.0089803,           0.0089803
                 105,             0.02295,            0.022276,           0.0015267,             0.86262,             0.86005,             0.89983,             0.72563,            0.019902,             0.01371,          0.00070172,           0.0089704,           0.0089704,           0.0089704
                 106,            0.023204,            0.022923,           0.0017679,             0.86088,             0.86394,             0.90319,             0.72754,            0.019889,            0.013662,          0.00063176,           0.0089605,           0.0089605,           0.0089605
                 107,            0.023069,            0.022953,            0.001464,             0.84655,             0.86508,             0.89761,             0.72227,            0.019842,            0.013592,          0.00078169,           0.0089506,           0.0089506,           0.0089506
                 108,            0.022679,            0.022283,           0.0014782,             0.85173,             0.86866,             0.90159,             0.72786,            0.019936,            0.013348,          0.00076473,           0.0089407,           0.0089407,           0.0089407
                 109,            0.022887,            0.022726,           0.0015971,              0.8694,             0.85027,             0.90318,             0.71615,            0.019829,            0.013429,          0.00078996,           0.0089308,           0.0089308,           0.0089308
